match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
11,0,0.0,0.0,0.0,0.0,0.0,K Khejroliya,19.0,40.0,0,3.1,12.903225806451612
11,K Rabada,27.0,21.0,2.0,1.0,128.57142857142858,K Rabada,92.0,137.0,caughtcaughtcaughtcaughtbowled,15.2,9.013157894736842
11,KC Sangakkara,62.0,43.0,5.0,2.0,144.1860465116279,0,0.0,0.0,0,0.0,0.0
11,KD Karthik,19.0,14.0,2.0,0.0,135.71428571428572,0,0.0,0.0,0,0.0,0.0
11,KH Pandya,43.0,25.0,4.0,2.0,172.0,KH Pandya,18.0,26.0,0,3.0,8.666666666666666
11,0,0.0,0.0,0.0,0.0,0.0,KK Ahmed,39.0,74.0,bowled,6.3,11.746031746031747
11,KK Nair,55.0,49.0,6.0,1.0,112.24489795918366,0,0.0,0.0,0,0.0,0.0
11,KL Rahul,78.0,66.0,8.0,3.0,118.18181818181819,0,0.0,0.0,0,0.0,0.0
11,KM Jadhav,9.0,12.0,1.0,0.0,75.0,0,0.0,0.0,0,0.0,0.0
11,KP Pietersen,43.0,28.0,3.0,2.0,153.57142857142858,KP Pietersen,24.0,33.0,run out,4.0,8.25
11,KS Williamson,41.0,26.0,5.0,0.0,157.69230769230768,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,KV Sharma,18.0,19.0,caught,3.0,6.333333333333333
11,Kuldeep Yadav,3.0,7.0,0.0,0.0,42.857142857142854,Kuldeep Yadav,24.0,31.0,caught,4.0,7.75
11,0,0.0,0.0,0.0,0.0,0.0,L Balaji,18.0,22.0,caughtcaught,3.0,7.333333333333333
11,0,0.0,0.0,0.0,0.0,0.0,LI Meriwala,19.0,32.0,caught,3.1,10.32258064516129
11,LR Shukla,42.0,35.0,4.0,1.0,120.0,LR Shukla,12.0,19.0,0,2.0,9.5
11,LRPL Taylor,35.0,23.0,4.0,2.0,152.17391304347828,0,0.0,0.0,0,0.0,0.0
11,LS Livingstone,88.0,53.0,7.0,7.0,166.03773584905662,LS Livingstone,19.0,25.0,caughtcaught and bowled,3.1,8.064516129032258
11,Lalit Yadav,50.0,31.0,7.0,0.0,161.29032258064515,Lalit Yadav,6.0,11.0,0,1.0,11.0
11,0,0.0,0.0,0.0,0.0,0.0,M Ashwin,7.0,11.0,0,1.1,10.0
11,M Kartik,3.0,3.0,0.0,0.0,100.0,M Kartik,18.0,34.0,0,3.0,11.333333333333334
11,M Manhas,32.0,22.0,5.0,0.0,145.45454545454547,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,M Morkel,50.0,55.0,caughtcaughtrun out,8.2,6.707317073170732
11,0,0.0,0.0,0.0,0.0,0.0,M Muralitharan,65.0,64.0,caughtcaught,10.5,6.095238095238095
11,M Shahrukh Khan,21.0,17.0,2.0,1.0,123.52941176470588,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,M Siddharth,12.0,21.0,0,2.0,10.5
11,M Vijay,64.0,58.0,4.0,2.0,110.34482758620689,0,0.0,0.0,0,0.0,0.0
11,M Vohra,44.0,34.0,7.0,1.0,129.41176470588235,0,0.0,0.0,0,0.0,0.0
11,MA Agarwal,89.0,51.0,10.0,4.0,174.50980392156862,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,MA Starc,25.0,35.0,lbwcaught,4.1,8.536585365853659
11,MEK Hussey,86.0,54.0,11.0,2.0,159.25925925925927,0,0.0,0.0,0,0.0,0.0
11,MK Pandey,33.0,26.0,3.0,1.0,126.92307692307692,0,0.0,0.0,0,0.0,0.0
11,ML Hayden,163.0,96.0,15.0,10.0,169.79166666666669,0,0.0,0.0,0,0.0,0.0
11,MM Ali,2.0,10.0,0.0,0.0,20.0,MM Ali,24.0,37.0,0,4.0,9.25
11,MM Sharma,10.0,8.0,2.0,0.0,125.0,MM Sharma,18.0,30.0,0,3.0,10.0
11,MP Stoinis,66.0,47.0,5.0,3.0,140.4255319148936,MP Stoinis,27.0,38.0,0,4.3,8.837209302325581
11,0,0.0,0.0,0.0,0.0,0.0,MP Yadav,24.0,28.0,caughtcaughtcaught,4.0,7.0
11,MS Dhoni,77.0,74.0,4.0,3.0,104.05405405405406,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,MS Gony,49.0,71.0,caughtcaughtbowledbowledcaught,8.1,8.765432098765432
11,Mandeep Singh,56.0,35.0,7.0,1.0,160.0,0,0.0,0.0,0,0.0,0.0
11,Mohammad Hafeez,16.0,24.0,1.0,0.0,66.66666666666666,Mohammad Hafeez,13.0,16.0,0,2.1,7.619047619047619
11,0,0.0,0.0,0.0,0.0,0.0,Mohammad Nabi,24.0,15.0,caughtstumpedbowledcaught,4.0,3.75
11,0,0.0,0.0,0.0,0.0,0.0,Mohammed Shami,51.0,89.0,caughtrun outcaught,8.3,10.722891566265059
11,Mohammed Siraj,3.0,9.0,0.0,0.0,33.33333333333333,Mohammed Siraj,24.0,39.0,run out,4.0,9.75
11,Mohsin Khan,2.0,1.0,0.0,0.0,200.0,Mohsin Khan,25.0,34.0,caughtcaught,4.1,8.292682926829269
11,Mukesh Choudhary,2.0,2.0,0.0,0.0,100.0,Mukesh Choudhary,27.0,52.0,caught,4.3,12.093023255813954
11,Mukesh Kumar,1.0,1.0,0.0,0.0,100.0,Mukesh Kumar,24.0,37.0,caught and bowledcaught and bowled,4.0,9.25
11,N Pooran,51.0,29.0,4.0,3.0,175.86206896551724,0,0.0,0.0,0,0.0,0.0
11,NV Ojha,39.0,46.0,6.0,0.0,84.78260869565217,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,Naveen-ul-Haq,25.0,44.0,0,4.1,10.731707317073171
11,OF Smith,3.0,9.0,0.0,0.0,33.33333333333333,OF Smith,12.0,14.0,caught,2.0,7.0
11,0,0.0,0.0,0.0,0.0,0.0,P Amarnath,24.0,30.0,caughtcaught,4.0,7.5
11,P Awana,1.0,5.0,0.0,0.0,20.0,P Awana,12.0,20.0,0,2.0,10.0
11,P Kumar,16.0,12.0,0.0,1.0,133.33333333333331,P Kumar,66.0,86.0,0,11.0,7.818181818181818
11,P Negi,3.0,4.0,0.0,0.0,75.0,P Negi,24.0,39.0,0,4.0,9.75
11,P Ray Barman,19.0,25.0,2.0,0.0,76.0,P Ray Barman,24.0,56.0,0,4.0,14.0
11,P Simran Singh,19.0,7.0,1.0,2.0,271.42857142857144,0,0.0,0.0,0,0.0,0.0
11,PA Patel,59.0,64.0,9.0,0.0,92.1875,0,0.0,0.0,0,0.0,0.0
11,PBB Rajapaksa,9.0,6.0,0.0,1.0,150.0,0,0.0,0.0,0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0,PJ Sangwan,24.0,46.0,0,4.0,11.5
11,PP Chawla,4.0,5.0,1.0,0.0,80.0,PP Chawla,66.0,80.0,bowledcaught,11.0,7.2727272727272725
11,PP Shaw,34.0,25.0,3.0,2.0,136.0,0,0.0,0.0,0,0.0,0.0
