match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
1,RD Chahar,2.0,4.0,0.0,0.0,50.0,RD Chahar,48.0,79.0,caught and bowled,8.0,9.88
1,Rashid Khan,10.0,3.0,1.0,1.0,333.33,Rashid Khan,48.0,63.0,caughtcaughtbowledcaught,8.0,7.88
1,S Aravind,0.0,2.0,0.0,0.0,0.0,S Aravind,18.0,36.0,0,3.0,12.0
1,S Dube,58.0,61.0,4.0,2.0,95.08,S Dube,11.0,18.0,0,1.5,12.0
1,S Gopal,2.0,16.0,0.0,0.0,12.5,S Gopal,18.0,19.0,0,3.0,6.33
1,S Nadeem,4.0,8.0,0.0,0.0,50.0,S Nadeem,24.0,22.0,caughtcaught,4.0,5.5
1,SB Jakati,6.0,10.0,0.0,0.0,60.0,SB Jakati,30.0,34.0,stumped,5.0,6.8
1,SB Joshi,3.0,8.0,0.0,0.0,37.5,SB Joshi,18.0,26.0,0,3.0,8.67
1,SC Ganguly,10.0,15.0,2.0,0.0,66.67,SC Ganguly,25.0,23.0,caughtrun outbowled,4.1,5.61
1,SH Johnson,1.0,1.0,0.0,0.0,100.0,SH Johnson,14.0,32.0,0,2.2,14.55
1,SK Raina,100.0,94.0,10.0,1.0,106.38,SK Raina,12.0,9.0,stumpedrun out,2.0,4.5
1,SM Curran,18.0,6.0,1.0,2.0,300.0,SM Curran,24.0,29.0,caught,4.0,7.25
1,SP Narine,44.0,28.0,5.0,3.0,157.14,SP Narine,120.0,108.0,run outbowledstumpedbowledbowledcaughtcaughtcaught and bowledcaughtrun outcaught,20.0,5.4
1,SR Watson,42.0,46.0,3.0,2.0,91.3,SR Watson,43.0,70.0,caughtcaught,7.1,9.86
1,ST Jayasuriya,26.0,20.0,5.0,0.0,130.0,ST Jayasuriya,24.0,34.0,caughtcaught,4.0,8.5
1,STR Binny,11.0,10.0,0.0,1.0,110.0,STR Binny,6.0,10.0,caught,1.0,10.0
1,Shahbaz Ahmed,1.0,3.0,0.0,0.0,33.33,Shahbaz Ahmed,6.0,14.0,0,1.0,14.0
1,Shakib Al Hasan,1.0,3.0,0.0,0.0,33.33,Shakib Al Hasan,50.0,77.0,caughtcaught and bowled,8.2,9.39
1,T Thushara,1.0,3.0,0.0,0.0,33.33,T Thushara,24.0,33.0,caught,4.0,8.25
1,TA Boult,0.0,1.0,0.0,0.0,0.0,TA Boult,46.0,59.0,bowledlbw,7.4,7.97
1,TL Suman,7.0,10.0,1.0,0.0,70.0,TL Suman,7.0,16.0,0,1.1,14.55
1,TM Head,30.0,22.0,3.0,0.0,136.36,TM Head,6.0,11.0,0,1.0,11.0
1,TS Mills,6.0,3.0,0.0,1.0,200.0,TS Mills,25.0,32.0,bowled,4.1,7.8
1,UT Yadav,1.0,10.0,0.0,0.0,10.0,UT Yadav,84.0,95.0,caughtcaught,14.0,6.79
1,WPUJC Vaas,0.0,1.0,0.0,0.0,0.0,WPUJC Vaas,18.0,27.0,caughtcaught,3.0,9.0
1,Washington Sundar,10.0,17.0,0.0,0.0,58.82,Washington Sundar,6.0,7.0,caught and bowled,1.0,7.0
1,YK Pathan,47.0,45.0,1.0,3.0,104.44,YK Pathan,19.0,19.0,caught,3.1,6.13
1,YS Chahal,7.0,19.0,0.0,0.0,36.84,YS Chahal,72.0,69.0,run outcaughtbowled,12.0,5.75
1,Z Khan,5.0,11.0,0.0,0.0,45.45,Z Khan,75.0,95.0,caughtcaught,12.3,7.72
10,A Nehra,3.0,15.0,0.0,0.0,20.0,A Nehra,66.0,117.0,bowledrun outcaughtcaught and bowledcaughtcaught,11.0,10.64
10,AB Agarkar,1.0,1.0,0.0,0.0,100.0,AB Agarkar,7.0,14.0,0,1.1,12.73
10,AD Mascarenhas,27.0,28.0,2.0,0.0,96.43,AD Mascarenhas,24.0,30.0,caught,4.0,7.5
10,AD Mathews,6.0,4.0,1.0,0.0,150.0,AD Mathews,19.0,23.0,caught,3.1,7.42
10,AD Russell,106.0,58.0,8.0,9.0,182.76,AD Russell,75.0,135.0,bowledcaughtcaught,12.3,10.98
10,AK Markram,0.0,1.0,0.0,0.0,0.0,AK Markram,12.0,14.0,0,2.0,7.0
10,AR Patel,21.0,14.0,2.0,1.0,150.0,AR Patel,65.0,94.0,run outcaught,10.5,8.95
10,AU Rashid,4.0,3.0,1.0,0.0,133.33,AU Rashid,18.0,23.0,lbwlbw,3.0,7.67
10,B Kumar,4.0,3.0,0.0,0.0,133.33,B Kumar,63.0,68.0,caughtcaughtbowledcaughtcaughtcaughtcaught and bowled,10.3,6.6
10,B Lee,24.0,13.0,2.0,2.0,184.62,B Lee,48.0,31.0,caught and bowledrun out,8.0,3.88
10,BCJ Cutting,20.0,11.0,4.0,0.0,181.82,BCJ Cutting,12.0,18.0,0,2.0,9.0
10,BJ Hodge,44.0,43.0,2.0,2.0,102.33,BJ Hodge,13.0,14.0,caughtcaught,2.1,6.67
10,BMAJ Mendis,0.0,1.0,0.0,0.0,0.0,BMAJ Mendis,12.0,20.0,0,2.0,10.0
10,C Green,33.0,21.0,4.0,2.0,157.14,C Green,6.0,7.0,0,1.0,7.0
10,CH Gayle,56.0,52.0,5.0,4.0,107.69,CH Gayle,26.0,20.0,0,4.2,4.76
10,CV Varun,2.0,3.0,0.0,0.0,66.67,CV Varun,37.0,59.0,caughtbowled,6.1,9.67
