batsman,total_runs,total_balls_faced,total_fours,total_sixes,strike_rate,total_balls_bowled,total_runs_conceded,total_wickets,overs_bowled,economy
R Tewatia,899.0,682.0,75.0,43.0,131.82,737.0,939.0,33,122.5,7.64
R Vinay Kumar,310.0,289.0,21.0,9.0,107.27,1520.0,2113.0,35,253.2,8.34
RA Jadeja,2955.0,2375.0,213.0,107.0,124.42,3865.0,4883.0,61,644.1,7.58
RA Tripathi,38.0,25.0,7.0,0.0,152.0,6.0,12.0,1,1.0,12.0
RD Chahar,129.0,127.0,13.0,5.0,101.57,827.0,1057.0,21,137.5,7.67
RE van der Merwe,159.0,144.0,11.0,8.0,110.42,328.0,361.0,13,54.4,6.6
RG More,2.0,2.0,0.0,0.0,100.0,24.0,35.0,1,4.0,8.75
RG Sharma,3425.0,2719.0,303.0,141.0,125.97,349.0,462.0,23,58.1,7.94
RJ Gleeson,2.0,2.0,0.0,0.0,100.0,26.0,41.0,1,4.2,9.46
RJ Harris,117.0,112.0,6.0,3.0,104.46,622.0,790.0,19,103.4,7.62
RJ Peterson,19.0,18.0,2.0,1.0,105.56,48.0,70.0,4,8.0,8.75
RJW Topley,3.0,6.0,0.0,0.0,50.0,25.0,39.0,1,4.1,9.36
RN ten Doeschate,120.0,86.0,11.0,3.0,139.53,70.0,81.0,8,11.4,6.94
RP Meredith,0.0,3.0,0.0,0.0,0.0,45.0,85.0,2,7.3,11.33
RP Singh,52.0,78.0,2.0,1.0,66.67,1013.0,1352.0,21,168.5,8.01
RR Bhatkal,0.0,2.0,0.0,0.0,0.0,12.0,35.0,1,2.0,17.5
RR Powar,67.0,64.0,6.0,1.0,104.69,190.0,248.0,9,31.4,7.83
RR Raje,20.0,18.0,1.0,1.0,111.11,86.0,130.0,5,14.2,9.07
RS Bopara,355.0,294.0,22.0,13.0,120.75,174.0,226.0,11,29.0,7.79
RV Gomez,3.0,7.0,0.0,0.0,42.86,48.0,59.0,5,8.0,7.38
RV Patel,7.0,9.0,1.0,0.0,77.78,20.0,22.0,1,3.2,6.6
Ramandeep Singh,33.0,16.0,3.0,2.0,206.25,39.0,59.0,3,6.3,9.08
Rashid Khan,545.0,355.0,39.0,38.0,153.52,2252.0,2641.0,36,375.2,7.04
Rasikh Salam,40.0,40.0,5.0,0.0,100.0,107.0,188.0,6,17.5,10.54
Ravi Bishnoi,32.0,54.0,2.0,0.0,59.26,512.0,695.0,14,85.2,8.14
S Aravind,59.0,59.0,7.0,0.0,100.0,349.0,492.0,10,58.1,8.46
S Badree,13.0,25.0,0.0,0.0,52.0,108.0,139.0,5,18.0,7.72
S Dhawan,847.0,665.0,85.0,24.0,127.37,49.0,72.0,5,8.1,8.82
S Dube,571.0,424.0,26.0,40.0,134.67,111.0,186.0,12,18.3,10.05
S Gopal,180.0,173.0,19.0,2.0,104.05,570.0,796.0,19,95.0,8.38
S Kaul,20.0,36.0,1.0,0.0,55.56,277.0,369.0,9,46.1,7.99
S Kaushik,0.0,1.0,0.0,0.0,0.0,19.0,50.0,1,3.1,15.79
S Ladda,0.0,10.0,0.0,0.0,0.0,36.0,65.0,2,6.0,10.83
S Lamichhane,0.0,1.0,0.0,0.0,0.0,24.0,28.0,1,4.0,7.0
S Nadeem,39.0,88.0,2.0,0.0,44.32,701.0,887.0,20,116.5,7.59
S Narwal,14.0,13.0,2.0,0.0,107.69,63.0,109.0,3,10.3,10.38
S Rana,24.0,24.0,2.0,0.0,100.0,16.0,18.0,3,2.4,6.75
S Randiv,2.0,4.0,0.0,0.0,50.0,21.0,31.0,1,3.3,8.86
S Sreesanth,34.0,57.0,6.0,0.0,59.65,312.0,393.0,11,52.0,7.56
S Sriram,31.0,38.0,3.0,0.0,81.58,18.0,49.0,2,3.0,16.33
S Tyagi,3.0,4.0,0.0,0.0,75.0,13.0,40.0,1,2.1,18.46
S Vidyut,5.0,11.0,1.0,0.0,45.45,13.0,22.0,1,2.1,10.15
SA Abbott,22.0,18.0,1.0,2.0,122.22,59.0,104.0,3,9.5,10.58
SA Yadav,16.0,26.0,1.0,0.0,61.54,6.0,8.0,1,1.0,8.0
SB Bangar,47.0,49.0,1.0,3.0,95.92,81.0,119.0,6,13.3,8.81
SB Jakati,28.0,30.0,3.0,0.0,93.33,318.0,427.0,5,53.0,8.06
SB Joshi,6.0,16.0,0.0,0.0,37.5,37.0,53.0,2,6.1,8.59
SB Styris,126.0,132.0,9.0,3.0,95.45,216.0,265.0,9,36.0,7.36
SB Wagh,2.0,3.0,0.0,0.0,66.67,31.0,41.0,2,5.1,7.94
SC Ganguly,660.0,642.0,64.0,22.0,102.8,256.0,346.0,17,42.4,8.11
SD Chitnis,21.0,15.0,2.0,1.0,140.0,25.0,41.0,1,4.1,9.84
SE Bond,1.0,2.0,0.0,0.0,50.0,24.0,33.0,1,4.0,8.25
SE Rutherford,73.0,55.0,2.0,7.0,132.73,46.0,60.0,6,7.4,7.83
SH Johnson,7.0,8.0,1.0,0.0,87.5,77.0,125.0,4,12.5,9.74
SJ Srivastava,5.0,5.0,0.0,0.0,100.0,113.0,151.0,4,18.5,8.02
SK Raina,4217.0,3170.0,390.0,154.0,133.03,930.0,1139.0,40,155.0,7.35
SK Trivedi,42.0,60.0,3.0,1.0,70.0,471.0,609.0,12,78.3,7.76
SK Warne,196.0,210.0,14.0,6.0,93.33,673.0,818.0,21,112.1,7.29
SL Malinga,88.0,103.0,6.0,5.0,85.44,1066.0,1268.0,14,177.4,7.14
SM Curran,887.0,682.0,74.0,37.0,130.06,1099.0,1668.0,36,183.1,9.11
SM Harwood,9.0,14.0,0.0,0.0,64.29,37.0,48.0,2,6.1,7.78
